Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,13495,15221,12953,14859
2018-01-03,14837,15385,14599,14881
2018-01-04,14859,15385,14225,15038
2018-01-05,15038,16556,14815,16556
2018-01-08,16420,16420,13966,14684
2018-01-09,14684,15361,14164,14409
2018-01-10,14430,14684,13459,14451
2018-01-11,14493,14948,12853,13089
2018-01-12,13106,14104,12887,13908
2018-01-15,13569,14306,13405,13812
2018-01-16,13793,13812,10060,11062
2018-01-17,11123,11751,9199.63,11086
2018-01-18,11111,12048,10661,11287
2018-01-19,11287,11962,10989,11390
2018-01-22,11211,11862,10050,10661
2018-01-23,10672,11364,9970.09,11050
2018-01-24,11050,11468,10493,11099
2018-01-25,11099,11710,10893,11161
2018-01-26,11161,11614,10320,10965
2018-01-29,11696,11765,11013,11050
2018-01-30,11062,11211,9813.54,10194
2018-01-31,10173,10331,9624.64,10081
2018-02-01,10070,10204,8561.64,8992.81
2018-02-02,8976.66,9157.51,7692.31,8576.33
2018-02-05,8410.43,8417.51,6583.28,6844.63
2018-02-06,6807.35,7955.45,5948.84,7645.26
2018-02-07,7645.26,8583.69,7209.81,7867.82
2018-02-08,7855.46,8620.69,7547.17,8223.68
2018-02-09,8216.93,8718.4,7751.94,8561.64
2018-02-12,8305.65,8904.72,8032.13,8880.99
2018-02-13,8888.89,8976.66,8368.2,8539.71
2018-02-14,8554.32,9433.96,8481.76,9433.96
2018-02-15,9442.87,10215,9354.54,10070
2018-02-16,10091,10299,9718.17,10010
2018-02-19,10582,11261,10309,11086
2018-02-20,11074,11765,11062,11429
2018-02-21,11364,11403,10246,10449
2018-02-22,10449,10917,9727.63,9960.16
2018-02-23,9960.16,10395,9596.93,9980.04
2018-02-26,9671.18,10438,9389.67,10352
2018-02-27,10352,10858,10142,10741
2018-02-28,10730,11050,10384,10428
2018-03-01,10417,11074,10225,10965
2018-03-02,10965,11161,10787,11050
2018-03-05,11390,11655,11390,11561
2018-03-06,11561,11587,10582,10764
2018-03-07,10764,10893,9469.7,9930.49
2018-03-08,9940.36,10101,9074.41,9276.44
2018-03-09,9267.84,9407.34,8368.2,8992.81
2018-03-12,9514.75,9881.42,8779.63,9049.77
2018-03-13,9041.59,9478.67,8857.4,9157.51
2018-03-14,9157.51,9310.99,7955.45,8169.93
2018-03-15,8176.61,8410.43,7674.6,8326.39
2018-03-16,8326.39,8598.45,7923.93,8525.15
2018-03-19,8149.96,8703.22,8130.08,8496.18
2018-03-20,8503.4,9033.42,8326.39,8952.55
2018-03-21,8952.55,9157.51,8764.24,8849.56
2018-03-22,8833.92,9082.65,8496.18,8695.65
2018-03-23,8695.65,8764.24,8298.76,8620.69
2018-03-26,8628.13,8643.04,7861.64,7886.44
2018-03-27,7886.44,8250.83,7751.94,8000
2018-03-28,8000,8097.17,7745.93,7874.02
2018-03-29,7874.02,8000,6915.63,7052.19
2018-03-30,7067.14,7326.01,6591.96,6816.63
2018-04-02,6825.94,7107.32,6761.33,6983.24
2018-04-03,6978.37,7507.51,6978.37,7429.42
2018-04-04,7434.94,7440.48,6729.48,6830.6
2018-04-05,6821.28,6920.42,6583.28,6724.95
2018-04-06,6720.43,6849.32,6514.66,6622.52
2018-04-09,6993.01,7168.46,6618.13,6715.92
2018-04-10,6715.92,6858.71,6657.79,6854.01
2018-04-11,6854.01,6958.94,6788.87,6901.31
2018-04-12,6901.31,8058.02,6765.9,7824.73
2018-04-13,7830.85,8216.93,7757.95,8097.17
2018-04-16,8305.65,8410.43,7911.39,7993.61
2018-04-17,8000,8149.96,7836.99,7911.39
2018-04-18,7911.39,8210.18,7867.82,8190.01
2018-04-19,8190.01,8291.87,8103.73,8271.3
2018-04-20,8271.3,8554.32,8223.68,8517.89
2018-04-23,8912.66,8984.73,8764.24,8936.55
2018-04-24,8936.55,9487.67,8912.66,9469.7
2018-04-25,9469.7,9746.59,8733.62,9165.9
2018-04-26,9165.9,9174.31,8658.01,9090.91
2018-04-27,9099.18,9372.07,9090.91,9090.91
2018-04-30,9310.99,9442.87,9124.09,9216.59
2018-05-01,9216.59,9285.05,8841.73,9074.41
2018-05-02,9074.41,9259.26,8984.73,9233.61
2018-05-03,9233.61,9727.63,9165.9,9652.51
2018-05-04,9652.51,9794.32,9541.98,9652.51
2018-05-07,9523.81,9633.91,9191.18,9389.67
2018-05-08,9389.67,9451.8,9049.77,9182.74
2018-05-09,9182.74,9363.3,8976.66,9242.14
2018-05-10,9242.14,9380.86,9057.97,9099.18
2018-05-11,9107.47,9107.47,8510.64,8605.85
2018-05-14,8658.01,8880.99,8298.76,8726
2018-05-15,8733.62,8833.92,8438.82,8496.18
2018-05-16,8488.96,8539.71,8110.3,8285
2018-05-17,8285,8460.24,8130.08,8149.96
2018-05-18,8149.96,8271.3,7930.21,8230.45
2018-05-21,8517.89,8568.98,8326.39,8382.23
2018-05-22,8382.23,8417.51,8051.53,8071.03
2018-05-23,8071.03,8097.17,7440.48,7639.42
2018-05-24,7639.42,7722.01,7272.73,7530.12
2018-05-25,7530.12,7651.11,7347.54,7423.9
2018-05-28,7331.38,7429.42,7147.96,7163.32
2018-05-29,7163.32,7518.8,7052.19,7490.64
2018-05-30,7496.25,7552.87,7288.63,7336.76
2018-05-31,7336.76,7598.78,7336.76,7547.17
2018-06-01,7547.17,7598.78,7352.94,7434.94
2018-06-04,7692.31,7751.94,7457.12,7535.8
2018-06-05,7535.8,7651.11,7374.63,7587.25
2018-06-06,7593.01,7692.31,7496.25,7662.84
2018-06-07,7662.84,7751.94,7639.42,7662.84
2018-06-08,7656.97,7692.31,7547.17,7639.42
2018-06-11,6747.64,6816.63,6653.36,6770.48
2018-06-12,6770.48,6896.55,6455.78,6548.79
2018-06-13,6540.22,6609.39,6134.97,6277.46
2018-06-14,6277.46,6697.92,6273.53,6648.94
2018-06-15,6648.94,6662.23,6480.88,6548.79
2018-06-18,6497.73,6793.48,6389.78,6715.92
2018-06-19,6715.92,6825.94,6675.57,6720.43
2018-06-20,6720.43,6807.35,6561.68,6720.43
2018-06-21,6720.43,6784.26,6684.49,6706.91
2018-06-22,6711.41,6743.09,6082.73,6195.79
2018-06-25,6157.64,6317.12,6086.43,6261.74
2018-06-26,6261.74,6269.59,6134.97,6222.78
2018-06-27,6218.91,6218.91,6006.01,6119.95
2018-06-28,6119.95,6176.65,5910.17,5917.16
2018-06-29,5917.16,5952.38,5800.46,5882.35
2018-07-02,6365.37,6666.67,6277.46,6644.52
2018-07-03,6644.52,6666.67,6540.22,6609.39
2018-07-04,6609.39,6784.26,6418.49,6688.96
2018-07-05,6688.96,6693.44,6455.78,6493.51
2018-07-06,6493.51,6622.52,6455.78,6570.3
2018-07-09,6752.19,6752.19,6671.11,6711.41
2018-07-10,6715.92,6793.48,6325.11,6373.49
2018-07-11,6373.49,6397.95,6289.31,6361.32
2018-07-12,6365.37,6381.62,6146.28,6169.03
2018-07-13,6169.03,6329.11,6086.43,6176.65
2018-07-16,6377.55,6697.92,6333.12,6662.23
2018-07-17,6662.23,7440.48,6662.23,7358.35
2018-07-18,7358.35,7575.76,7246.38,7331.38
2018-07-19,7331.38,7507.51,7283.32,7434.94
2018-07-20,7434.94,7656.97,7272.73,7342.14
2018-07-23,7374.63,7788.16,7342.14,7751.94
2018-07-24,7751.94,8340.28,7692.31,8257.64
2018-07-25,8257.64,8481.76,8064.52,8278.15
2018-07-26,8285,8305.65,7917.66,7949.13
2018-07-27,7961.78,8271.3,7800.31,8223.68
2018-07-30,8190.01,8271.3,7861.64,8123.48
2018-07-31,8123.48,8196.72,7674.6,7710.1
2018-08-01,7710.1,7770.01,7468.26,7479.43
2018-08-02,7479.43,7698.23,7446.02,7530.12
2018-08-03,7530.12,7564.3,7288.63,7374.63
2018-08-06,7047.22,7147.96,6863.42,6863.42
2018-08-07,6863.42,7147.96,6684.49,6738.54
2018-08-08,6752.19,6788.87,6131.21,6293.27
2018-08-09,6301.2,6622.52,6203.47,6587.62
2018-08-10,6587.62,6609.39,6309.15,6397.95
2018-08-13,6365.37,6535.95,6165.23,6242.2
2018-08-14,6238.3,6281.41,5899.71,6116.21
2018-08-15,6112.47,6613.76,6082.73,6418.49
2018-08-16,6414.37,6472.49,6222.78,6277.46
2018-08-17,6277.46,6553.08,6261.74,6497.73
2018-08-20,6497.73,6523.16,6393.86,6422.61
2018-08-21,6414.37,6497.73,6238.3,6464.12
2018-08-22,6459.95,6854.01,6305.17,6369.43
2018-08-23,6369.43,6480.88,6257.82,6476.68
2018-08-24,6472.49,6644.52,6472.49,6622.52
2018-08-27,6680.03,6752.19,6657.79,6729.48
2018-08-28,6729.48,7122.51,6724.95,7067.14
2018-08-29,7062.15,7122.51,6920.42,7062.15
2018-08-30,7057.16,7057.16,6802.72,6939.63
2018-08-31,6939.63,7082.15,6901.31,7042.25
2018-09-03,7283.32,7326.01,7199.42,7309.94
2018-09-04,7309.94,7401.92,7235.89,7352.94
2018-09-05,7352.94,7385.52,6868.13,6930.01
2018-09-06,6930.01,6930.01,6277.46,6435.01
2018-09-07,6435.01,6531.68,6329.11,6418.49
2018-09-10,6365.37,6365.37,6215.04,6293.27
2018-09-11,6293.27,6373.49,6191.95,6309.15
2018-09-12,6305.17,6333.12,6203.47,6301.2
2018-09-13,6301.2,6523.16,6301.2,6459.95
2018-09-14,6459.95,6578.95,6414.37,6535.95
2018-09-17,6497.73,6527.42,6211.18,6246.1
2018-09-18,6246.1,6381.62,6226.65,6321.11
2018-09-19,6321.11,6493.51,6116.21,6381.62
2018-09-20,6381.62,6497.73,6353.24,6497.73
2018-09-21,6506.18,6775.07,6472.49,6752.19
2018-09-24,6684.49,6720.43,6574.62,6618.13
2018-09-25,6618.13,6618.13,6333.12,6389.78
2018-09-26,6389.78,6540.22,6377.55,6476.68
2018-09-27,6472.49,6729.48,6430.87,6711.41
2018-09-28,6715.92,6793.48,6535.95,6675.57
2018-10-01,6565.99,6644.52,6501.95,6578.95
2018-10-02,6578.95,6600.66,6468.31,6531.68
2018-10-03,6531.68,6544.5,6410.26,6451.61
2018-10-04,6451.61,6596.31,6422.61,6557.38
2018-10-05,6557.38,6587.62,6523.16,6553.08
2018-10-08,6548.79,6671.11,6548.79,6635.7
2018-10-09,6631.3,6631.3,6565.99,6596.31
2018-10-10,6596.31,6613.76,6464.12,6535.95
2018-10-11,6540.22,6557.38,6127.45,6222.78
2018-10-12,6222.78,6265.66,6142.51,6238.3
2018-10-15,6238.3,6958.94,6188.12,6459.95
2018-10-16,6455.78,6591.96,6455.78,6523.16
2018-10-17,6523.16,6557.38,6476.68,6514.66
2018-10-18,6514.66,6553.08,6426.74,6430.87
2018-10-19,6430.87,6468.31,6410.26,6426.74
2018-10-22,6476.68,6476.68,6418.49,6447.45
2018-10-23,6447.45,6455.78,6402.05,6435.01
2018-10-24,6435.01,6497.73,6430.87,6464.12
2018-10-25,6464.12,6464.12,6414.37,6435.01
2018-10-26,6435.01,6485.08,6414.37,6435.01
2018-10-29,6414.37,6439.15,6242.2,6285.36
2018-10-30,6285.36,6313.13,6265.66,6285.36
2018-10-31,6281.41,6357.28,6215.04,6325.11
2018-11-01,6325.11,6377.55,6313.13,6353.24
2018-11-02,6353.24,6397.95,6349.21,6369.43
2018-11-05,6426.74,6455.78,6389.78,6414.37
2018-11-06,6418.49,6468.31,6402.05,6451.61
2018-11-07,6455.78,6553.08,6451.61,6518.9
2018-11-08,6518.9,6527.42,6418.49,6426.74
2018-11-09,6426.74,6430.87,6337.14,6361.32
2018-11-12,6337.14,6406.15,6333.12,6349.21
2018-11-13,6349.21,6357.28,6293.27,6329.11
2018-11-14,6329.11,6341.15,5405.41,5595.97
2018-11-15,5586.59,5711.02,5263.16,5534.03
2018-11-16,5534.03,5643.34,5497.53,5540.17
2018-11-19,5567.93,5583.47,4732.61,4840.27
2018-11-20,4837.93,4928.54,4127.12,4310.34
2018-11-21,4299.23,4662,4248.09,4504.5
2018-11-22,4504.5,4616.81,4395.6,4442.47
2018-11-23,4438.53,4438.53,4135.65,4248.09
2018-11-26,3979.31,4093.33,3566.33,3680.53
2018-11-27,3679.18,3853.56,3606.2,3822.63
2018-11-28,3822.63,4370.63,3787.88,4210.53
2018-11-29,4212.3,4415.01,4116.92,4240.88
2018-11-30,4242.68,4310.34,3892.57,3974.56
2018-12-03,4137.36,4158,3777.86,3865.48
2018-12-04,3866.98,4061.74,3775.01,3923.11
2018-12-05,3921.57,3941.66,3698.22,3731.34
2018-12-06,3734.13,3862.5,3589.38,3612.72
2018-12-07,3612.72,3653.64,3236.25,3363.61
2018-12-10,3552.4,3623.19,3397.89,3460.21
2018-12-11,3460.21,3467.41,3330,3393.28
2018-12-12,3392.13,3521.13,3356.83,3445.9
2018-12-13,3445.9,3472.22,3261.58,3294.89
2018-12-14,3293.81,3324.47,3191.83,3194.89
2018-12-17,3232.06,3612.72,3219.58,3513.7
2018-12-18,3519.89,3607.5,3474.64,3599.71
2018-12-19,3595.83,3958.83,3593.24,3753.75
2018-12-20,3752.35,4210.53,3706.45,4105.09
2018-12-21,4113.53,4191.11,3821.17,3838.77
2018-12-24,3995.21,4284.49,3974.56,4095
2018-12-26,3809.52,3898.64,3727.17,3850.6
2018-12-27,3852.08,3877.47,3612.72,3632.4
2018-12-28,3632.4,3993.61,3610.11,3952.57
2018-12-31,3866.98,3888.02,3696.86,3728.56
2019-01-02,3766.48,3958.83,3766.48,3946.33
2019-01-03,3944.77,3965.11,3812.43,3840.25
2019-01-04,3840.25,3871.47,3773.58,3827.02
2019-01-07,4066.69,4110.15,3996.8,4033.88
2019-01-08,4032.26,4135.65,4003.2,4038.77
2019-01-09,4038.77,4076.64,4000,4030.63
2019-01-10,4030.63,4066.69,3616.64,3654.97
2019-01-11,3654.97,3699.59,3623.19,3681.89
2019-01-14,3531.07,3731.34,3526.09,3687.32
2019-01-15,3687.32,3713.33,3581.66,3599.71
2019-01-16,3601.01,3687.32,3595.83,3619.25
2019-01-17,3619.25,3667.03,3579.1,3656.31
2019-01-18,3654.97,3673.77,3604.9,3627.13
2019-01-21,3559.99,3570.15,3518.65,3544.84
2019-01-22,3546.1,3624.5,3447.09,3601.01
2019-01-23,3601.01,3627.13,3546.1,3573.98
2019-01-24,3575.26,3617.95,3548.62,3590.66
2019-01-25,3590.66,3606.2,3552.4,3575.26
2019-01-28,3561.25,3561.25,3402.52,3454.23
2019-01-29,3454.23,3465,3370.41,3424.66
2019-01-30,3423.49,3487.97,3400.2,3471.02
2019-01-31,3471.02,3497.73,3427,3450.66
2019-02-01,3450.66,3484.32,3405.99,3478.26
2019-02-04,3431.71,3461.41,3422.31,3436.43
2019-02-05,3436.43,3457.81,3424.66,3450.66
2019-02-06,3450.66,3463.8,3370.41,3395.59
2019-02-07,3396.74,3405.99,3379.52,3387.53
2019-02-08,3388.68,3738.32,3373.82,3657.64
2019-02-11,3654.97,3684.6,3615.33,3625.82
2019-02-12,3627.13,3649.64,3581.66,3616.64
2019-02-13,3616.64,3663,3591.95,3601.01
2019-02-14,3601.01,3617.95,3581.66,3594.54
